,Marque,Taille,État,Couleur,Emplacement,Modepaiement,Nombre de vus,interet,ajout,genre,prix
32,LA REDOUTE ,34,NEUF SANS ÉTIQUETTE,NOIR,"OUTREAU, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Enfants,"5,00 €"
33,NA,NA,NA,NA,NA,NA,NA,NA,IL Y A 4 MINUTES,Enfants,"5,00 €"
34,TIMBERLAND ,47,TRÈS BON ÉTAT,"ORANGE, MOUTARDE","ANGERS, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Hommes,"90,00 €"
35,LIGHT STEP ,36,BON ÉTAT,BEIGE,"MONTBRISON, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Femmes,"3,00 €"
36,CASSIS ,40,NEUF SANS ÉTIQUETTE,NOIR,"MOLTIFAO, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 4 MINUTES,Femmes,"25,00 €"
37,PRIMARK ,L / 40 / 12,TRÈS BON ÉTAT,GRIS,FRANCE,"CARTE BANCAIRE, PAYPAL",18,NA,IL Y A 5 JOURS,Femmes,"2,00 €"
38,BOOHOO ,5XL / 50 / 22,NEUF SANS ÉTIQUETTE,NOIR,FRANCE,"CARTE BANCAIRE, PAYPAL",60,1 UTILISATEUR,IL Y A 12 JOURS,Femmes,"5,00 €"
39,NIKE ,40,TRÈS BON ÉTAT,"NOIR, JAUNE",FRANCE,"CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 7 JOURS,Femmes,"40,00 €"
40,MANGO ,L / 40 / 12,NEUF SANS ÉTIQUETTE,"NOIR, BLANC",FRANCE,"CARTE BANCAIRE, PAYPAL",22,1 UTILISATEUR,IL Y A 5 JOURS,Femmes,"2,00 €"
41,KIABI ,XXXL / 46 / 18,NEUF SANS ÉTIQUETTE,"NOIR, BLANC",FRANCE,"CARTE BANCAIRE, PAYPAL",18,1 UTILISATEUR,IL Y A 9 JOURS,Femmes,"6,00 €"
42,DONNA MARA ,38,BON ÉTAT,MARRON,"CHAMBON, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 5 MINUTES,Femmes,"5,00 €"
43,NIKE ,41,BON ÉTAT,"NOIR, VERT","LILLE, FRANCE","CARTE BANCAIRE, PAYPAL",1,1 UTILISATEUR,IL Y A 5 MINUTES,Hommes,"100,00 €"
44,NA,NA,NA,NA,NA,NA,NA,NA,IL Y A 5 MINUTES,Enfants,"2,00 €"
45,GBB ,22,SATISFAISANT,"NOIR, GRIS","CRÉDIN, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 5 MINUTES,Enfants,"1,00 €"
46,NIKE ,28,TRÈS BON ÉTAT,MARRON,"HARLINGEN, NEDERLAND","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 5 MINUTES,Enfants,"7,50 €"
47,ZARA ,38,NEUF SANS ÉTIQUETTE,NOIR,"MILANO, ITALIA","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 5 MINUTES,Femmes,"15,00 €"
48,NEW LOOK ,39,TRÈS BON ÉTAT,BLANC,"SAINS-EN-GOHELLE, FRANCE","CARTE BANCAIRE, PAYPAL",1,NA,IL Y A 5 MINUTES,Femmes,"10,00 €"
